Year,Rank,Age,Rider,Team,Time
2003,1,32,Honchar Serhiy,De Nardi - Colpack,38:04
2003,2,28,Bruseghin Marzio,Fassa Bortolo,+0:19
2003,3,28,González Aitor,Fassa Bortolo,+0:20
2003,4,29,Frigo Dario,Fassa Bortolo,+0:26
2003,5,31,Rumšas Raimondas,Lampre,+1:03
2003,6,24,Casar Sandy,Fdjeux.com,+1:05
2003,7,29,Garzelli Stefano,Vini Caldirola - So.di,+1:16
2003,8,25,Bertagnolli Leonardo,Saeco,+1:18
2003,9,23,Popovych Yaroslav,Landbouwkrediet - Colnago,+1:19
2003,10,32,Totschnig Georg,Gerolsteiner,+1:21
2003,11,28,Bäckstedt Magnus,Team Fakta,+1:24
2003,12,22,Eisel Bernhard,Fdjeux.com,+1:28
2003,13,32,Belli Wladimir,Lampre,+1:38
2003,14,24,Kirchen Kim,Fassa Bortolo,+1:39
2003,15,34,Noè Andrea,Alessio,+1:49
2003,16,29,Mazzoleni Eddy,Vini Caldirola - So.di,+1:50
2003,17,30,Codol Massimo,Mercatone Uno - Scanavino,+2:08
2003,18,31,Simoni Gilberto,Saeco,+2:14
2003,19,25,Pellizotti Franco,Alessio,+2:19
2003,20,28,Da Cruz Carlos,Fdjeux.com,+2:30
2003,21,23,Quinziato Manuel,Lampre,+2:31
2003,22,30,Baranowski Dariusz,CCC - Polsat,+2:37
2003,23,23,Laverde Luis Felipe,Formaggi Pinzolo Fiavè - Ciarrocchi Immobiliare,+2:41
2003,24,34,Svorada Ján,Lampre,+2:44
2003,25,29,Velo Marco,Fassa Bortolo,+2:45
2003,26,29,Moerenhout Koos,Lotto - Domo,+2:47
2003,27,26,Adyeyev Sergiy,Landbouwkrediet - Colnago,+2:50
2003,28,33,Pantani Marco,Mercatone Uno - Scanavino,+2:51
2003,29,32,Brożyna Tomasz,CCC - Polsat,+2:57
2003,31,25,Gobbi Michele,De Nardi - Colpack,+3:00
2003,32,27,Caucchioli Pietro,Alessio,+3:01
2003,33,37,Faresin Gianni,Gerolsteiner,+3:02
2003,34,32,Chmielewski Piotr,CCC - Polsat,+3:05
2003,36,29,Miholjević Vladimir,Alessio,+3:08
2003,37,34,Baldato Fabio,Alessio,+3:11
2003,38,25,Szmyd Sylwester,Mercatone Uno - Scanavino,+3:20
2003,39,31,Duma Vladimir,Landbouwkrediet - Colnago,+3:23
2003,40,35,Verstrepen Johan,Landbouwkrediet - Colnago,+3:24
2003,42,30,Andriotto Dario,Vini Caldirola - So.di,+3:25
2003,43,24,Trampusch Gerhard,Gerolsteiner,+3:28
2003,44,24,Scamardella Salvatore,Landbouwkrediet - Colnago,+3:29
2003,45,25,Zanotti Leonardo,De Nardi - Colpack,+3:30
2003,47,21,Cunego Damiano,Saeco,+3:32
2003,48,25,Gutiérrez Ignacio,Kelme - Costa Blanca,+3:36
2003,49,25,Zaballa Constantino,Kelme - Costa Blanca,+3:37
2003,50,25,Wegelius Charles,De Nardi - Colpack,+3:38
2003,53,27,Lunghi Denis,Alessio,+3:40
2003,54,23,García Quesada Adolfo,Kelme - Costa Blanca,+3:44
2003,55,36,Sunderland Scott,Team Fakta,+3:45
2003,57,27,Tonti Andrea,Saeco,+3:51
2003,58,25,Nocentini Rinaldo,Formaggi Pinzolo Fiavè - Ciarrocchi Immobiliare,+3:57
2003,59,23,Bernucci Lorenzo,Landbouwkrediet - Colnago,+3:58
2003,60,24,Sabaliauskas Marius,Saeco,+4:05
2003,61,28,Gerosa Mauro,Vini Caldirola - So.di,+4:14
2003,63,27,Vila Francisco Javier,Lampre,+4:16
2003,64,31,Pozzi Oscar,Tenax - Garda Calze,+4:17
2003,65,38,Scirea Mario,Domina Vacanze - Elitron,+4:19
2003,66,30,Secchiari Francesco,Domina Vacanze - Elitron,+4:20
2003,67,28,Stremersch Tom,Landbouwkrediet - Colnago,+4:28
2003,68,34,Lanfranchi Paolo,Panaria - Fiordo,+4:29
2003,69,30,Muñoz Hernan Dario,Colombia - Selle Italia,+4:33
2003,71,30,Frattini Cristiano,Tenax - Garda Calze,+4:41
2003,72,34,Barbero Sergio,Lampre,+4:44
2003,73,32,Gasperoni Cristian,Mercatone Uno - Scanavino,+4:47
2003,74,22,Pietropolli Daniele,Tenax - Garda Calze,+4:52
2003,75,25,Zampieri Steve,Vini Caldirola - So.di,+4:53
2003,76,28,Spezialetti Alessandro,Saeco,+5:01
2003,77,33,Castelblanco José Joaquin,Colombia - Selle Italia,+5:04
2003,78,38,Conti Roberto,Mercatone Uno - Scanavino,+5:06
2003,79,33,Lombardi Giovanni,Domina Vacanze - Elitron,+5:07
2003,80,27,Mesa Hector Orlando,Formaggi Pinzolo Fiavè - Ciarrocchi Immobiliare,+5:11
2003,81,36,Tonetti Gianluca,Tenax - Garda Calze,+5:12
2003,82,26,Giordani Leonardo,De Nardi - Colpack,+5:18
2003,84,33,Manzoni Mario,Mercatone Uno - Scanavino,+5:24
2003,85,30,Winn Julian,Team Fakta,+5:28
2003,86,24,Cheula Giampaolo,Vini Caldirola - So.di,+5:31
2003,87,31,Colombo Gabriele,Domina Vacanze - Elitron,+5:35
2003,88,27,De Angeli Luca,Colombia - Selle Italia,+5:38
2003,89,26,Hardter Uwe,Gerolsteiner,+5:45
2003,90,27,González Freddy Excelino,Colombia - Selle Italia,+5:46
2003,91,27,Jørgensen René,Team Fakta,+5:48
2003,92,26,Usano Julian,Kelme - Costa Blanca,+5:50
2003,94,32,Fornaciari Paolo,Saeco,+6:14
2003,95,38,Fontanelli Fabiano,Mercatone Uno - Scanavino,+6:38
2003,96,34,Marín Ruber Alveiro,Colombia - Selle Italia,+7:07
2003,97,37,Massi Rodolfo,Colombia - Selle Italia,+8:36
2004,1,30,Petacchi Alessandro,Fassa Bortolo,4:07:01
2004,9,26,Furlan Angelo,Alessio - Bianchi,+0:03
2004,18,22,Cunego Damiano,Saeco,+0:08
