Year,Rank,Age,Rider,Team,Time
2003,1,29,Petacchi Alessandro,Fassa Bortolo,3:51:19
2003,153,34,Lombardi Giovanni,Domina Vacanze - Elitron,+0:23
2003,154,23,Hiekmann Torsten,Team Telekom,+0:37
2003,156,27,López Joaquin,Paternina - Costa de Almería,+0:44
2003,158,29,Tosatto Matteo,Fassa Bortolo,+0:53
2003,159,27,Rund Thorsten,Team Bianchi,+1:22
2004,1,27,Pérez Santiago,Phonak Hearing Systems,35:05
2004,2,28,Mancebo Francisco,Illes Balears - Banesto,+0:07
2004,3,29,Sastre Carlos,Team CSC,+0:08
2004,4,30,Heras Roberto,Liberty Seguros,+0:13
2004,5,29,Blanco David,Comunidad Valenciana - Kelme,+0:18
2004,6,29,Grabsch Bert,Phonak Hearing Systems,+0:34
2004,7,30,Peña Victor Hugo,US Postal Service p/b Berry Floor,+0:36
2004,8,30,Pérez Rodríguez Luis,"Cofidis, le Crédit par Téléphone",+0:52
2004,9,22,Gusev Vladimir,Team CSC,+0:55
2004,10,28,Jaksche Jörg,Team CSC,+0:58
2004,11,23,Posthuma Joost,Rabobank ProTeam,+1:09
2004,12,24,Gómez Marchante José Ángel,Costa de Almería - Paternina,+1:10
2004,13,30,Gutiérrez José Enrique,Phonak Hearing Systems,+1:12
2004,14,24,Valverde Alejandro,Comunidad Valenciana - Kelme,+1:17
2004,15,32,Serrano Marcos Antonio,Liberty Seguros,+1:20
2004,16,26,García Quesada Carlos,Comunidad Valenciana - Kelme,+1:24
2004,18,23,Cunego Damiano,Saeco,+1:27
2004,19,26,Nozal Isidro,Liberty Seguros,+1:29
2004,20,27,Evans Cadel,T-Mobile Team,+1:44
2004,21,33,Beltrán Manuel,US Postal Service p/b Berry Floor,+1:48
2004,22,28,Joachim Benoît,US Postal Service p/b Berry Floor,+1:49
2004,23,28,Garate Juan Manuel,Lampre,+1:50
2004,24,24,Herrero David,Costa de Almería - Paternina,+1:53
2004,25,27,Sevilla Óscar,Phonak Hearing Systems,+1:55
2004,26,27,Pérez Aitor,Cafés Baqué,+1:56
2004,27,24,Schleck Fränk,Team CSC,+2:00
2004,28,31,Høj Frank,Team CSC,+2:03
2004,29,30,Ivanov Ruslan,Alessio - Bianchi,+2:06
2004,30,27,Lara Francisco José,Costa de Almería - Paternina,+2:08
2004,33,31,Garzelli Stefano,Vini Caldirola - Nobili Rubinetterie,+2:11
2004,34,28,Lastras Pablo,Illes Balears - Banesto,+2:12
2004,35,31,Cárdenas Félix Rafael,Cafés Baqué,+2:13
2004,36,32,Cruz Antonio,US Postal Service p/b Berry Floor,+2:14
2004,37,27,Zubeldia Haimar,Euskaltel - Euskadi,+2:15
2004,38,35,den Bakker Maarten,Rabobank ProTeam,+2:16
2004,39,34,Vasseur Cédric,"Cofidis, le Crédit par Téléphone",+2:19
2004,40,34,Plaza David,Cafés Baqué,+2:22
2004,42,26,Schreck Stephan,T-Mobile Team,+2:25
2004,44,23,Van Goolen Jurgen,Quickstep - Davitamon,+2:30
2004,45,23,Vansummeren Johan,Relax - Bodysol,+2:32
2004,46,22,De Weert Kevin,Rabobank ProTeam,+2:39
2004,47,25,Sabaliauskas Marius,Saeco,+2:45
2004,48,29,Hruška Jan,Liberty Seguros,+2:46
2004,49,30,Velo Marco,Fassa Bortolo,+2:52
2004,50,24,Pasamontes Luis,Relax - Bodysol,+2:53
2004,51,28,Parra Iván Ramiro,Cafés Baqué,+2:55
2004,52,29,Osa Unai,Illes Balears - Banesto,+2:58
2004,54,29,Cañada David,Saunier Duval - Prodir,+3:00
2004,55,30,Horrach Joan Sebastian,Illes Balears - Banesto,+3:02
2004,56,26,Veneberg Thorwald,Rabobank ProTeam,+3:03
2004,58,24,Quinziato Manuel,Lampre,+3:05
2004,59,29,Horrillo Pedro,Quickstep - Davitamon,+3:06
2004,60,34,Piccoli Mariano,Lampre,+3:07
2004,61,23,Weening Pieter,Rabobank ProTeam,+3:08
2004,62,26,Hulsmans Kevin,Quickstep - Davitamon,+3:09
2004,64,34,Zabel Erik,T-Mobile Team,+3:12
2004,65,30,Latasa David,Comunidad Valenciana - Kelme,+3:13
2004,66,31,Trenti Guido,Fassa Bortolo,+3:14
