Year,Race Title,Distance (km)
2003,2003 58thVuelta a España,2957.4
2004,2004 59thVuelta a España,3026.9
2005,2005 60thVuelta a España,3359.5
2006,2006 61stVuelta a España,3211.5
2007,2007 62ndVuelta a España,3281.1
2008,2008 63rdVuelta a España,3133.6
2009,2009 64thVuelta a España,3264.7
2010,2010 65thVuelta a España,3370.2
2011,2011 66thVuelta a España,3293.4
2012,2012 67thVuelta a España,3300.7
2013,2013 68thVuelta a España,3350.1
2014,2014 69thVuelta a España,3239.9
2015,2015 70thVuelta a España,3358.1
2016,2016 71stVuelta a España,3314.7
2017,2017 72ndVuelta a España,3306.1
2018,2018 73rdVuelta a España,3266.1
2019,2019 74thVuelta a España,3291.4
2020,2020 75thVuelta a España,2908
2021,2021 76thVuelta a España,3417
2022,2022 77thVuelta a España,3283.1
2023,2023 78thVuelta a España,3157.9
2024,2024 79thVuelta a España,3293.3
2025,2025 80thVuelta a España,3170.9
