Year,Stage Number,Stage Title,Date,Departure,Arrival,Winner
2003,1,2003 58th Vuelta a España (GT),06 September 2003,Gijón,Gijón,Azevedo
2003,2,2003 58th Vuelta a España (GT),07 September 2003,Gijón,Cangas de Onís,Pérez Rodríguez
2003,3,2003 58th Vuelta a España (GT),08 September 2003,Cangas de Onís,Santander,Petacchi
2003,4,2003 58th Vuelta a España (GT),09 September 2003,Santander,Burgos,Etxebarria
2003,5,2003 58th Vuelta a España (GT),10 September 2003,Soria,Zaragoza,Petacchi
2003,6,2003 58th Vuelta a España (GT),11 September 2003,Zaragoza,Zaragoza,Nozal
2003,7,2003 58th Vuelta a España (GT),12 September 2003,Huesca,Cauterets. Cam Basque,Rasmussen
2003,8,2003 58th Vuelta a España (GT),13 September 2003,Cauterets,Pla de Beret,Rodríguez
2003,9,2003 58th Vuelta a España (GT),14 September 2003,Viella,Port d'Envalira,Valverde
2003,10,2003 58th Vuelta a España (GT),15 September 2003,Andorra,Sabadell,Zabel
2003,11,2003 58th Vuelta a España (GT),16 September 2003,Utiel,Cuenca,Zabel
2003,12,2003 58th Vuelta a España (GT),17 September 2003,Cuenca,Albacete,Petacchi
2003,13,2003 58th Vuelta a España (GT),18 September 2003,Albacete,Albacete,Nozal
2003,14,2003 58th Vuelta a España (GT),19 September 2003,Albacete,Valdepeñas,Petacchi
2003,15,2003 58th Vuelta a España (GT),20 September 2003,Valdepeñas,La Pandera,Valverde
2003,16,2003 58th Vuelta a España (GT),21 September 2003,Jaén,Sierra Nevada,Cárdenas
2003,17,2003 58th Vuelta a España (GT),22 September 2003,Granada,Córdoba,Millar
2003,18,2003 58th Vuelta a España (GT),23 September 2003,Las Rozas,Las Rozas,Díaz
2003,19,2003 58th Vuelta a España (GT),24 September 2003,Alcobendas,Collado Villalba,Simeoni
2003,20,2003 58th Vuelta a España (GT),25 September 2003,San Lorenzo de El Escorial,Alto de Abantos,Heras
2003,21,2003 58th Vuelta a España (GT),26 September 2003,Madrid,Madrid,Petacchi
2004,1,2004 59th Vuelta a España (GT),04 September 2004,León,León,Beltrán
2004,2,2004 59th Vuelta a España (GT),05 September 2004,León,Burgos,Petacchi
2004,3,2004 59th Vuelta a España (GT),06 September 2004,Burgos,Soria,Valverde
2004,4,2004 59th Vuelta a España (GT),07 September 2004,Soria,Zaragoza,Petacchi
2004,5,2004 59th Vuelta a España (GT),08 September 2004,Zaragoza,Morella,Menchov
2004,6,2004 59th Vuelta a España (GT),09 September 2004,Benicarló,Castellón de la Plana,Freire
2004,7,2004 59th Vuelta a España (GT),10 September 2004,Castellón de la Plana,Valencia,Petacchi
2004,8,2004 59th Vuelta a España (GT),11 September 2004,Almusafes,Almusafes,Hamilton
2004,9,2004 59th Vuelta a España (GT),12 September 2004,Játiva,Alto de Aitana,Piepoli
2004,10,2004 59th Vuelta a España (GT),13 September 2004,Alcoy,Xorret de Catí,Jiménez
2004,11,2004 59th Vuelta a España (GT),14 September 2004,San Vicente del Raspeig,Caravaca de la Cruz,Zabriskie
2004,12,2004 59th Vuelta a España (GT),16 September 2004,Almería,Observatorio de Calar Alto,Heras
2004,13,2004 59th Vuelta a España (GT),17 September 2004,El Ejido,Málaga,Petacchi
2004,14,2004 59th Vuelta a España (GT),18 September 2004,Málaga,Granada,Pérez
2004,15,2004 59th Vuelta a España (GT),19 September 2004,Granada,Sierra Nevada,Pérez
2004,16,2004 59th Vuelta a España (GT),21 September 2004,Olivenza,Cáceres,Juliá
2004,17,2004 59th Vuelta a España (GT),22 September 2004,Plasencia,La Covatilla,Cárdenas
2004,18,2004 59th Vuelta a España (GT),23 September 2004,Béjar,Ávila,Pascual Rodríguez
2004,19,2004 59th Vuelta a España (GT),24 September 2004,Ávila,Collado Villalba,Zaballa
2004,20,2004 59th Vuelta a España (GT),25 September 2004,Alcobendas,Puerto de Navacerrada,Gutiérrez
2004,21,2004 59th Vuelta a España (GT),26 September 2004,Madrid,Madrid,Pérez
2005,1,2005 60th Vuelta a España (2.PT),27 August 2005,Granada,Granada,Menchov
2005,2,2005 60th Vuelta a España (2.PT),28 August 2005,Granada,Córdoba,Bertagnolli
2005,3,2005 60th Vuelta a España (2.PT),29 August 2005,Cordoba,Puertollano,Petacchi
2005,4,2005 60th Vuelta a España (2.PT),30 August 2005,Ciudad Real,Argamasilla de Alba,Petacchi
2005,5,2005 60th Vuelta a España (2.PT),31 August 2005,Alcazar de San Juan,Cuenca,Hushovd
2005,6,2005 60th Vuelta a España (2.PT),01 September 2005,Cuenca,Valdelinares,Heras
2005,7,2005 60th Vuelta a España (2.PT),02 September 2005,Teruel,Vinaros,van Heeswijk
2005,8,2005 60th Vuelta a España (2.PT),03 September 2005,Tarragona,Lloret de Mar,Petacchi
2005,9,2005 60th Vuelta a España (2.PT),04 September 2005,Lloret de Mar,Lloret de Mar,Menchov
2005,10,2005 60th Vuelta a España (2.PT),05 September 2005,La Vall d'En Bas (Girona),Ordino Arcalis (Andorra),Mancebo
2005,11,2005 60th Vuelta a España (2.PT),06 September 2005,Andorra,Cerler,Laiseka
2005,12,2005 60th Vuelta a España (2.PT),08 September 2005,Logroño,Burgos,Petacchi
2005,13,2005 60th Vuelta a España (2.PT),09 September 2005,Burgos,La Bien Aparecida,Sánchez
2005,14,2005 60th Vuelta a España (2.PT),10 September 2005,Nestlé La Penilla,Lagos de Covadonga,Jiménez
2005,15,2005 60th Vuelta a España (2.PT),11 September 2005,Cangas de Onis,Valgrande Pajares,Heras
2005,16,2005 60th Vuelta a España (2.PT),13 September 2005,Leon,Valladolid,Bettini
2005,17,2005 60th Vuelta a España (2.PT),14 September 2005,El Espinar,La Granja de San Ildefonso,García Quesada
2005,18,2005 60th Vuelta a España (2.PT),15 September 2005,Avila,Avila,Sørensen
2005,19,2005 60th Vuelta a España (2.PT),16 September 2005,San Martin de Valdeiglesias,Alcobendas,Haussler
2005,20,2005 60th Vuelta a España (2.PT),17 September 2005,Guadalajara,Alcala de Henares,Plaza
2005,21,2005 60th Vuelta a España (2.PT),18 September 2005,Madrid,Madrid,Petacchi
2006,1,2006 61st Vuelta a España (2.PT),26 August 2006,Málaga,Málaga,Sastre
2006,2,2006 61st Vuelta a España (2.PT),27 August 2006,Málaga,Córdoba,Bettini
2006,3,2006 61st Vuelta a España (2.PT),28 August 2006,Córdoba,Almendralejo,Ventoso
2006,4,2006 61st Vuelta a España (2.PT),29 August 2006,Almendralejo,Cáceres,Zabel
2006,5,2006 61st Vuelta a España (2.PT),30 August 2006,Plasencia,Estación de Esquí La Covatilla (Béjar),Di Luca
2006,6,2006 61st Vuelta a España (2.PT),31 August 2006,Zamora,León,Hushovd
2006,7,2006 61st Vuelta a España (2.PT),01 September 2006,León,Alto de El Morredero (Ponferrada),Valverde
2006,8,2006 61st Vuelta a España (2.PT),02 September 2006,Ponferrada,Lugo,Vinokourov
2006,9,2006 61st Vuelta a España (2.PT),03 September 2006,A Fonsagrada,Alto de La Cobertoria,Vinokourov
2006,10,2006 61st Vuelta a España (2.PT),05 September 2006,Avilés,Museo de Altamira (Santillana del Mar),Paulinho
2006,11,2006 61st Vuelta a España (2.PT),06 September 2006,Torrelavega (Oscar Freire Velodrome),Burgos,Martínez
2006,12,2006 61st Vuelta a España (2.PT),07 September 2006,Aranda de Duero,Guadalajara,Paolini
2006,13,2006 61st Vuelta a España (2.PT),08 September 2006,Guadalajara,Cuenca,Sánchez
2006,14,2006 61st Vuelta a España (2.PT),09 September 2006,Cuenca,Cuenca,Millar
2006,15,2006 61st Vuelta a España (2.PT),10 September 2006,Motilla del Palancar,Ford factory (Almussafes),Förster
2006,16,2006 61st Vuelta a España (2.PT),12 September 2006,Almería,Astronomical Observatory of Calar Alto,Antón
2006,17,2006 61st Vuelta a España (2.PT),13 September 2006,Adra,Granada,Danielson
2006,18,2006 61st Vuelta a España (2.PT),14 September 2006,Granada,Sierra de la Pandera,Kashechkin
2006,19,2006 61st Vuelta a España (2.PT),15 September 2006,Jaén,Ciudad Real,Arrieta
2006,20,2006 61st Vuelta a España (2.PT),16 September 2006,Rivas Vaciamadrid,Rivas Vaciamadrid,Vinokourov
2006,21,2006 61st Vuelta a España (2.PT),17 September 2006,Madrid,Madrid,Zabel
2007,1,2007 62nd Vuelta a España (2.PT),01 September 2007,Vigo,Vigo,Bennati
2007,2,2007 62nd Vuelta a España (2.PT),02 September 2007,Allariz,Santiago de Compostela,Freire
2007,3,2007 62nd Vuelta a España (2.PT),03 September 2007,Viveiro,Luarca,Bettini
2007,4,2007 62nd Vuelta a España (2.PT),04 September 2007,Langreo,Lagos de Covadonga,Efimkin
2007,5,2007 62nd Vuelta a España (2.PT),05 September 2007,Cangas de Onís,Reinosa,Freire
2007,6,2007 62nd Vuelta a España (2.PT),06 September 2007,Reinosa,Logroño,Freire
2007,7,2007 62nd Vuelta a España (2.PT),07 September 2007,Calahorra,Zaragoza,Zabel
2007,8,2007 62nd Vuelta a España (2.PT),08 September 2007,D. O. Cariñena,Zaragoza,Grabsch
2007,9,2007 62nd Vuelta a España (2.PT),09 September 2007,Huesca,Estación de esquí Cerler,Piepoli
2007,10,2007 62nd Vuelta a España (2.PT),10 September 2007,Benasque,Estación de esquí de Ordino Arcalís,Menchov
2007,11,2007 62nd Vuelta a España (2.PT),12 September 2007,Castellón,Algemesí,Petacchi
2007,12,2007 62nd Vuelta a España (2.PT),13 September 2007,Algemesí,Hellín,Petacchi
2007,13,2007 62nd Vuelta a España (2.PT),14 September 2007,Hellin,Torre-Pacheco,Klier
2007,14,2007 62nd Vuelta a España (2.PT),15 September 2007,Puerto Lumbreras,Villacarrillo,McCartney
2007,15,2007 62nd Vuelta a España (2.PT),16 September 2007,Villacarrillo,Granada,Sánchez
2007,16,2007 62nd Vuelta a España (2.PT),18 September 2007,Jaen,Puertollano,Duque
2007,17,2007 62nd Vuelta a España (2.PT),19 September 2007,Ciudad Real,Talavera de la Reina,Bennati
2007,18,2007 62nd Vuelta a España (2.PT),20 September 2007,Talavera de la Reina,Ávila,Pérez Rodríguez
2007,19,2007 62nd Vuelta a España (2.PT),21 September 2007,Ávila,Alto de Abantos,Sánchez
2007,20,2007 62nd Vuelta a España (2.PT),22 September 2007,Villalba,Villalba,Sánchez
2007,21,2007 62nd Vuelta a España (2.PT),23 September 2007,Rivas Vaciamadrid,Madrid,Bennati
2008,1,2008 63rd Vuelta a España (2.HC),30 August 2008,Granada,Granada,Franzoi
2008,2,2008 63rd Vuelta a España (2.HC),31 August 2008,Granada,Jaén,Valverde
2008,3,2008 63rd Vuelta a España (2.HC),01 September 2008,Jaén,Córdoba,Boonen
2008,4,2008 63rd Vuelta a España (2.HC),02 September 2008,Córdoba,Puertollano,Bennati
2008,5,2008 63rd Vuelta a España (2.HC),03 September 2008,Ciudad Real,Ciudad Real,Leipheimer
2008,6,2008 63rd Vuelta a España (2.HC),04 September 2008,Ciudad Real,Toledo,Bettini
2008,7,2008 63rd Vuelta a España (2.HC),06 September 2008,Barbastro,Andorra (Naturlandia-La Rabassa),Ballan
2008,8,2008 63rd Vuelta a España (2.HC),07 September 2008,Andorra,Pla de Beret,Moncoutié
2008,9,2008 63rd Vuelta a España (2.HC),08 September 2008,Vielha e Mijaran,Sabiñánigo,Van Avermaet
2008,10,2008 63rd Vuelta a España (2.HC),09 September 2008,Sabiñánigo,Zaragoza,Hinault
2008,11,2008 63rd Vuelta a España (2.HC),10 September 2008,Calahorra,Burgos,Freire
2008,12,2008 63rd Vuelta a España (2.HC),11 September 2008,Burgos,Suances,Bettini
2008,13,2008 63rd Vuelta a España (2.HC),13 September 2008,San Vicente de la Barquera,Alto de l'Angliru,Contador
2008,14,2008 63rd Vuelta a España (2.HC),14 September 2008,Oviedo,Fuentes de Invierno,Contador
2008,15,2008 63rd Vuelta a España (2.HC),15 September 2008,Cudillero,Ponferrada,García Dapena
2008,16,2008 63rd Vuelta a España (2.HC),16 September 2008,Ponferrada,Zamora,Boonen
2008,17,2008 63rd Vuelta a España (2.HC),17 September 2008,Zamora,Valladolid,Weylandt
2008,18,2008 63rd Vuelta a España (2.HC),18 September 2008,Valladolid,Las Rozas,Erviti
2008,19,2008 63rd Vuelta a España (2.HC),19 September 2008,Las Rozas,Segovia,Arroyo
2008,20,2008 63rd Vuelta a España (2.HC),20 September 2008,La Granja de San Ildefonso,Alto de Navacerrada,Leipheimer
2008,21,2008 63rd Vuelta a España (2.HC),21 September 2008,San Sebastián de los Reyes,Madrid,Breschel
2009,1,2009 64th Vuelta a España (2.HC),29 August 2009,Assen,Assen,Cancellara
2009,2,2009 64th Vuelta a España (2.HC),30 August 2009,Assen,Emmen,Ciolek
2009,3,2009 64th Vuelta a España (2.HC),31 August 2009,Zutphen,Venlo,Henderson
2009,4,2009 64th Vuelta a España (2.HC),01 September 2009,Venlo,Liège,Greipel
2009,5,2009 64th Vuelta a España (2.HC),03 September 2009,Tarragona,Vinaròs,Greipel
2009,6,2009 64th Vuelta a España (2.HC),04 September 2009,Xàtiva,Xàtiva,Božič
2009,7,2009 64th Vuelta a España (2.HC),05 September 2009,Valencia,Valencia,Cancellara
2009,8,2009 64th Vuelta a España (2.HC),06 September 2009,Alzira,Alto de Aitana,Cunego
2009,9,2009 64th Vuelta a España (2.HC),07 September 2009,Alcoi,Xorret de Catí,César Veloso
2009,10,2009 64th Vuelta a España (2.HC),08 September 2009,Alicante,Murcia,Gerrans
2009,11,2009 64th Vuelta a España (2.HC),09 September 2009,Murcia,Caravaca de la Cruz,Farrar
2009,12,2009 64th Vuelta a España (2.HC),11 September 2009,Almería,Alto de Velefique,Hesjedal
2009,13,2009 64th Vuelta a España (2.HC),12 September 2009,Bejar,Alto de Sierra Nevada,Moncoutié
2009,14,2009 64th Vuelta a España (2.HC),13 September 2009,Granada,La Pandera,Cunego
